Date,Location,Suspected_Target,People_Killed,Min_Civilians,Max_Civilians,Latitude,Longitude,Country
2016-04-07,"Nematabad, Gomal, Paktika, Afghanistan",0,14,14,21,32.434829,69.001648,Afghanistan 
2016-04-14,"Achin, Nangarhar, Afghanistan",0,0,0,0,34.08218,70.667034,Afghanistan 
2016-04-19,"Shadal, Achin, Nangarhar, Afghanistan",0,5,0,0,34.08218,70.667034,Afghanistan 
2016-04-20,"Achin, Nangarhar, Afghanistan",0,4,0,0,34.08218,70.667034,Afghanistan 
2016-04-28,"Narai Obam, Haska Mena, Nangarhar, Afghanistan",0,15,0,0,34.171831,70.621679,Afghanistan 
2016-04-30,"Chaparhar and Haska Mina, Nangarhar, Afghanistan",0,38,0,0,34.092630,70.469224,Afghanistan 
2016-05-07,"Khanashin, Helmand, Afghanistan",2,0,0,0,30.810909,63.769538,Afghanistan 
2016-05-09,"Nahr Sufi, Chahar Dara, Kunduz, Afghanistan",0,12,0,0,36.599741,68.863499,Afghanistan 
2016-05-12,"Zarmakhel, Pacheragam, Nangarhar, Afghanistan",1,1,0,0,34.074090,70.288452,Afghanistan 
2016-05-16,"Gandeel, Watapor, Kunar, Afghanistan",0,3,0,0,34.910930,71.127398,Afghanistan 
2016-05-17,"Shahjoy, Zabul, Afghanistan",0,5,0,0,32.503195,67.415892,Afghanistan 
2016-05-18,"Mohammd Ghous, Ab Band, Ghazni, Afghanistan",0,1,0,0,32.983333,67.966667,Afghanistan 
2016-05-22,"Asqalan, Kunduz city, Kunduz, Afghanistan",0,13,0,0,36.728590,68.868066,Afghanistan 
2016-05-22,"Karkani, Achin, Nangarhar, Afghanistan",0,9,0,0,34.08218,70.667034,Afghanistan 
2016-05-26,"Sarobi, Achin, Nangarhar, Afghanistan",0,6,0,0,34.631340,69.718267,Afghanistan 
2016-05-26,"Pirakhel, Wazir, Nangarhar, Afghanistan",0,4,0,0,34.195889,70.158546,Afghanistan 
2016-05-26,"Kot, Nangarhar, Afghanistan",0,2,0,0,34.263148,70.788209,Afghanistan 
2016-05-26,"Elbak, Kandahar, Afghanistan",2,7,0,0,31.628871,65.737174,Afghanistan 
2016-05-29,"Kangari Kando, Haska Mena, Nangarhar, Afghanistan",0,6,0,0,34.171831,70.621679,Afghanistan 
2016-05-29,"Kata Sang, Shaha Wali Kot, Kandahar, Afghanistan",0,17,0,0,32.124645,65.380820,Afghanistan 
2016-05-29,"De Bala, Nangarhar, Afghanistan",0,2,0,0,34.092630,70.469224,Afghanistan 
2016-05-29,"Sayedabad, Maidan Wardak, Afghanistan",0,2,0,0,33.895518,68.763191,Afghanistan 
2016-06-02,"Kharkot, Gayan, Paktika, Afghanistan",0,10,0,0,32.984041,69.430782,Afghanistan 
2016-06-08,"Sar Rawza, Paktika, Afghanistan",0,2,0,0,33.004167,69.049336,Afghanistan 
2016-06-11,"Sargardan, Hesarak, Nangarhar, Afghanistan",0,6,0,0,34.283562,69.883565,Afghanistan 
2016-06-11,"Azara, Logar, Afghanistan",0,11,0,3,34.014551,69.192391,Afghanistan 
